Step	Volume(Å³)	Pressure(GPa)	MeanForce(eV/Å)	MaxForce(eV/Å)	Stress_xx(GPa)	Stress_yy(GPa)	Stress_zz(GPa)	TotalEnergy(eV)	Temperature(K)
140	52.120312	2.175600	0.858642	0.922558	1.288453	3.316287	1.922059	-14.410061	404.54
141	52.120312	2.032475	0.837756	1.054410	1.233279	3.125547	1.738598	-14.410224	423.00
142	52.120312	1.910080	0.824356	1.254763	1.248119	2.901123	1.580997	-14.410328	438.01
143	52.120312	1.827783	0.826570	1.449262	1.343324	2.668994	1.471031	-14.410356	446.44
144	52.120312	1.800971	0.850316	1.625556	1.523856	2.459152	1.419906	-14.410310	447.42
145	52.120312	1.824229	0.892021	1.767827	1.768918	2.278784	1.424986	-14.410205	442.33
146	52.120312	1.874626	0.940338	1.860406	2.034591	2.116849	1.472438	-14.410081	434.20
147	52.120312	1.927199	0.981587	1.892292	2.274151	1.964732	1.542712	-14.409979	426.70
148	52.120312	1.965761	1.005453	1.858362	2.452223	1.824772	1.620288	-14.409923	422.91
149	52.120312	1.980660	1.008400	1.760890	2.549227	1.702440	1.690313	-14.409916	424.62
150	52.120312	1.971661	0.992330	1.608299	2.563091	1.608778	1.743113	-14.409941	432.18
151	52.120312	1.944686	0.960871	1.411385	2.503863	1.555591	1.774604	-14.409984	444.96
152	52.120312	1.892278	0.916519	1.178524	2.364816	1.529868	1.782150	-14.410032	461.71
153	52.120312	1.818973	0.862847	1.011929	2.159831	1.528373	1.768714	-14.410073	480.95
154	52.120312	1.730391	0.803514	1.007480	1.909251	1.543197	1.738724	-14.410104	501.34
155	52.120312	1.637345	0.744540	0.988368	1.640917	1.570770	1.700349	-14.410135	521.80
156	52.120312	1.551168	0.707910	0.971829	1.382394	1.611131	1.659979	-14.410165	541.33
157	52.120312	1.472729	0.723955	0.986968	1.151710	1.651622	1.614856	-14.410191	559.01
158	52.120312	1.402483	0.761867	0.990016	0.965633	1.681465	1.560350	-14.410211	574.09
159	52.120312	1.337859	0.798277	0.978813	0.833263	1.688198	1.492117	-14.410228	585.98
160	52.120312	1.273303	0.827150	1.069206	0.758570	1.657019	1.404320	-14.410239	594.25
161	52.120312	1.212143	0.844962	1.249353	0.750424	1.588089	1.297916	-14.410251	598.60
162	52.120312	1.164161	0.849046	1.386361	0.817657	1.492104	1.182722	-14.410271	598.65
163	52.120312	1.141147	0.839058	1.472169	0.964619	1.382993	1.075829	-14.410306	593.79
